TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-23 16:35:30
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
539.5408 ,-44.767499,  5.547883 , -99.95573 ,-112.74849583000001
539.5458 ,-44.767499,  5.549027 , -99.97862 ,-112.723909245
539.5508 ,-44.760920999999996,  5.549027 , -99.93285 ,-112.773082415
539.5558 ,-44.767499,  5.548646 , -100.0015 ,-112.723909245
539.5608 ,-44.760920999999996,  5.549027 , -100.0015 ,-112.74849583000001
539.5658 ,-44.767499,  5.548265 , -99.95573 ,-112.723909245
539.5708 ,-44.767499,  5.54979 , -99.97862 ,-112.74849583000001
539.5758 ,-44.77407699999999,  5.547883 , -99.97862 ,-112.74849583000001
539.5808 ,-44.760920999999996,  5.549027 , -99.97862 ,-112.74849583000001
539.5858 ,-44.767499,  5.548646 , -99.95573 ,-112.69932266
539.5908 ,-44.767499,  5.548265 , -99.97862 ,-112.723909245
539.5958 ,-44.77407699999999,  5.548646 , -99.97862 ,-112.74849583000001
539.6008 ,-44.767499,  5.547883 , -99.97862 ,-112.723909245
539.6058 ,-44.760920999999996,  5.549409 , -99.95573 ,-112.773082415
539.6108 ,-44.767499,  5.549027 , -99.97862 ,-112.74849583000001
539.6158 ,-44.767499,  5.549027 , -100.0015 ,-112.723909245
539.6208 ,-44.767499,  5.549027 , -99.95573 ,-112.723909245
539.6259 ,-44.767499,  5.548646 , -99.97862 ,-112.69932266
539.6309 ,-44.767499,  5.549409 , -99.95573 ,-112.773082415
539.6359 ,-44.767499,  5.548265 , -100.0015 ,-112.74849583000001
539.6409 ,-44.767499,  5.549027 , -100.0244 ,-112.723909245
539.6459 ,-44.760920999999996,  5.548265 , -100.0015 ,-112.74849583000001
539.6509 ,-44.767499,  5.549027 , -99.95573 ,-112.723909245
539.6559 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.74849583000001
539.6609 ,-44.767499,  5.548646 , -99.97862 ,-112.773082415
539.6659 ,-44.767499,  5.549409 , -100.0015 ,-112.797669
539.6709 ,-44.767499,  5.548646 , -100.0015 ,-112.723909245
539.6759 ,-44.767499,  5.549409 , -100.0244 ,-112.74849583000001
539.6809 ,-44.760920999999996,  5.549409 , -99.97862 ,-112.773082415
539.6859 ,-44.767499,  5.548646 , -100.0015 ,-112.773082415
539.6909 ,-44.767499,  5.549409 , -99.97862 ,-112.74849583000001
539.6959 ,-44.767499,  5.548265 , -99.95573 ,-112.74849583000001
539.7009 ,-44.767499,  5.549409 , -99.93285 ,-112.74849583000001
539.7059 ,-44.767499,  5.548265 , -99.97862 ,-112.723909245
539.7109 ,-44.767499,  5.549409 , -99.95573 ,-112.723909245
539.7159 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.7209 ,-44.767499,  5.548646 , -100.0015 ,-112.69932266
539.726 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.74849583000001
539.731 ,-44.767499,  5.548646 , -99.97862 ,-112.69932266
539.736 ,-44.77407699999999,  5.548646 , -99.95573 ,-112.723909245
539.741 ,-44.767499,  5.549027 , -99.95573 ,-112.723909245
539.746 ,-44.767499,  5.548646 , -100.0015 ,-112.74849583000001
539.751 ,-44.77407699999999,  5.548646 , -99.97862 ,-112.723909245
539.756 ,-44.767499,  5.548265 , -99.95573 ,-112.74849583000001
539.761 ,-44.767499,  5.549409 , -99.97862 ,-112.69932266
539.766 ,-44.767499,  5.548646 , -99.95573 ,-112.773082415
539.771 ,-44.767499,  5.549409 , -99.97862 ,-112.69932266
539.776 ,-44.767499,  5.548646 , -99.97862 ,-112.69932266
539.781 ,-44.760920999999996,  5.548265 , -99.95573 ,-112.723909245
539.786 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.791 ,-44.767499,  5.548646 , -100.0015 ,-112.723909245
539.796 ,-44.767499,  5.549027 , -99.97862 ,-112.773082415
539.801 ,-44.767499,  5.548265 , -99.97862 ,-112.773082415
539.806 ,-44.767499,  5.548646 , -100.0244 ,-112.723909245
539.811 ,-44.760920999999996,  5.548646 , -100.0015 ,-112.773082415
539.816 ,-44.77407699999999,  5.548265 , -100.0244 ,-112.723909245
539.821 ,-44.767499,  5.54979 , -99.97862 ,-112.723909245
539.826 ,-44.767499,  5.547883 , -100.0015 ,-112.74849583000001
539.8311 ,-44.767499,  5.54979 , -99.90996 ,-112.773082415
539.8361 ,-44.767499,  5.549027 , -99.93285 ,-112.723909245
539.8411 ,-44.767499,  5.548265 , -100.0015 ,-112.74849583000001
539.8461 ,-44.767499,  5.548646 , -99.97862 ,-112.723909245
539.8511 ,-44.77407699999999,  5.549027 , -99.97862 ,-112.74849583000001
